IntervalDate,StartingHeadcount,EndingHeadcount_Supply,EndingHeadcount_SWA,TotalDemand
2025-09-30,28755,21612,1682,23294
2025-10-31,21612,21745,1648,23393
2025-11-30,21745,21187,1698,22885
2025-12-31,21187,20853,1737,22590
2026-01-31,20853,20620,1752,22372
2026-02-28,20620,20401,1728,22129
2026-03-31,20401,20198,1700,21898
2026-04-30,20198,19988,1682,21670
2026-05-31,19988,19733,1653,21386
2026-06-30,19733,19522,1629,21151
2026-07-31,19522,19099,1614,20713
2026-08-31,19099,18650,1617,20267
2026-09-30,18650,18335,1629,19964
2026-10-31,18335,17948,1638,19586
2026-11-30,17948,16050,1494,17544
2026-12-31,16050,15039,1370,16409
2027-01-31,15039,14186,1245,15431
2027-02-28,14186,14086,1241,15327
2027-03-31,14086,13945,1242,15187
