IntervalDate,StartingHeadcount,EndingHeadcount,Transactions,ReqTransactions,EmployeeTransactions,ContractorTransactions
2025-09-30,28755,25059,-3696,-1514,-1314,-868
2025-10-31,25059,25178,119,280,-150,-11
2025-11-30,25178,24525,-653,163,-777,-39
2025-12-31,24525,24144,-381,83,-435,-29
2026-01-31,24144,23901,-243,71,-289,-25
2026-02-28,23901,23649,-252,7,-234,-25
2026-03-31,23649,23416,-233,10,-220,-23
2026-04-30,23416,23190,-226,26,-236,-16
2026-05-31,23190,22877,-313,127,-431,-9
2026-06-30,22877,22621,-256,94,-330,-20
2026-07-31,22621,22107,-514,-103,-368,-43
2026-08-31,22107,21602,-505,-44,-411,-50
2026-09-30,21602,21256,-346,-29,-289,-28
2026-10-31,21256,20766,-490,-23,-453,-14
2026-11-30,20766,18388,-2378,-164,-2137,-77
2026-12-31,18388,17048,-1340,-41,-1220,-79
2027-01-31,17048,15989,-1059,-41,-963,-55
2027-02-28,15989,15855,-134,-1,-124,-9
2027-03-31,15855,15701,-154,-7,-146,-1
